Brand,Make,Year,Mileage,Engine_Size,Transmission,Seats,Body_Type,Colour,Drive_Type,Registration,Previous_Owners,Keys,Emissions,ULEZ_Exempt,Top_speed,Accelaration_0_62,Power,Tax,Insurance,Mpg,Service_record,Price
Toyota,AYGO,2017,34126,1.0,Manual,4,5 door Hatchback,Red,Front wheel drive,KW66 CUX,2,1,95g/km (band A),1,99,14.2,67.0,£0 / year,7,68.9,6,7550
Citroen,C3,2016,17725,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,HG16 VGA,1,2,104g/km (band B),1,101,14.2,67.0,£20 / year,7,62.8,5,7550
Suzuki,Celerio,2019,6443,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,YE19 FPP,2,2,89g/km (band D),1,96,13.5,67.0,£0 / year,7,58.9,3,7550
Hyundai,i10,2018,46778,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,ET18 OAC,2,2,117g/km (band G),1,97,14.7,66.0,£165 / year,2,50.4,0,7600
Fiat,500,2016,26193,1.2,Manual,4,3 door Hatchback,Volare Blue,Front wheel drive,WO16 KWH,5,2,110g/km (band B),1,99,12.9,69.0,£20 / year,8,60.1,2,7600
Fiat,500,2015,33168,1.2,Manual,4,3 door Hatchback,Electroclash Grey,Front wheel drive,GM65 MYH,2,2,110g/km (band B),1,99,12.9,69.0,£20 / year,8,60.1,6,7650
Vauxhall,Meriva,2017,36244,1.4,Manual,5,5 door MPV,White,Front wheel drive,NL17 DXJ,3,2,140g/km (band E),1,110,14.0,99.0,Not available,8,47.1,6,7650
Seat,Ibiza,2016,31800,1.0,Manual,5,3 door Hatchback,Red,Front wheel drive,FT16 KCU,2,1,118g/km (band C),1,107,14.3,74.0,Not available,8,54.3,6,7650
Vauxhall,Astra,2018,82692,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,YF18 KZS,1,2,102g/km (band F),1,121,10.5,104.0,Not available,1,64.2,7,7650
Ford,B-Max,2016,39181,1.5,Manual,5,5 door MPV,Black,Front wheel drive,YK16 GTN,3,2,109g/km (band B),0,98,15.1,74.0,Not available,8,68.9,6,7650
DS,DS 3,2016,59333,1.6,Manual,5,3 door Hatchback,Purple,Front wheel drive,DN66 UCS,4,2,87g/km (band A),1,117,10.8,99.0,£0 / year,2,83.1,0,7700
Peugeot,108,2015,14798,1.2,Manual,4,5 door Hatchback,Red,Front wheel drive,MK65 UHU,4,2,99g/km (band A),1,105,11.0,81.0,Not available,1,65.7,5,7700
Hyundai,i10,2016,22466,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,YL16 XTG,2,2,108g/km (band B),1,96,14.9,65.0,Not available,1,60.1,3,7700
Alfa,Romeo MiTo,2016,19716,0.9,Manual,4,3 door Hatchback,Alfa Red,Front wheel drive,KX16 UJU,2,2,99g/km (band A),1,114,11.4,104.0,Not available,1,67.3,3,7700
Dacia,Sandero,2019,12284,1.0,Manual,5,5 door Hatchback,Glacier White,Front wheel drive,WR19 ZHM,3,2,120g/km (band G),1,98,15.2,74.0,£165 / year,5,48.7,3,7700
Vauxhall,Meriva,2017,34461,1.4,Manual,5,5 door MPV,Blue,Front wheel drive,AV67 KYP,2,2,140g/km (band H),1,110,14.0,99.0,£165 / year,8,47.1,4,7750
