Brand,Make,Year,Mileage,Engine_Size,Transmission,Seats,Body_Type,Colour,Drive_Type,Registration,Previous_Owners,Keys,Emissions,ULEZ_Exempt,Top_speed,Accelaration_0_62,Power,Tax,Insurance,Mpg,Service_record,Price
Kia,Ceed,2019,16549,1.0,Manual,5,5 door Hatchback,Grey,Front wheel drive,RA68 HVW,2,1,119g/km (band G),1,116,,118.0,Not available,8,50.4,0,12400
Renault,Captur,2019,19326,0.9,Manual,5,5 door SUV,Oyster Grey with Diamond Black roof,Front wheel drive,HW19 OMG,2,1,122g/km (band G),1,106,13.1,89.0,Not available,9,45.6,3,12450
Mini,Hatch,2018,36394,1.5,Manual,4,3 door Hatchback,Deep Blue,Front wheel drive,LP67 CHJ,2,2,105g/km (band F),1,130,7.9,134.0,Not available,1,62.8,3,12450
Kia,Sportage,2018,55332,1.6,Manual,5,5 door SUV,Silver,Front wheel drive,AJ68 VUP,1,2,158g/km (band I),1,113,11.5,130.0,Not available,1,35.3,3,12450
Vauxhall,Corsa,2021,32080,1.2,Manual,5,5 door Hatchback,Grey,Front wheel drive,KO21 VDM,1,2,121g/km (band G),1,108,13.2,74.0,Not available,1,53.3,0,12450
Ford,Fiesta,2018,27346,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,MM18 EYR,3,2,97g/km (band E),1,113,10.5,99.0,£165 / year,1,65.7,0,12450
Vauxhall,Astra,2016,26337,1.6,Automatic,5,5 door Hatchback,Black,Front wheel drive,CF16 YXP,3,2,119g/km (band C),1,127,,134.0,£30 / year,1,62.8,6,12450
Ford,Fiesta,2018,33619,1.5,Manual,5,5 door Hatchback,White,Front wheel drive,CX18 HEJ,2,2,89g/km (band D),1,121,9.0,118.0,Not available,1,88.3,0,12450
Abarth,595,2018,13678,1.4,Manual,4,3 door Hatchback,Gara White,Front wheel drive,BX68 PKZ,1,2,151g/km (band I),1,130,7.8,143.0,Not available,2,39.2,3,12450
Mitsubishi,Mirage,2020,4681,1.2,Manual,5,5 door Hatchback,Purple,Front wheel drive,YY20 YAW,1,2,108g/km (band F),1,112,12.6,79.0,Not available,1,53.3,2,12450
Nissan,Juke,2017,17901,1.6,Automatic,5,5 door SUV,Red,Front wheel drive,EY17 JRZ,3,1,139g/km (band E),1,104,11.5,115.0,Not available,1,47.1,0,12450
Skoda,Superb,2015,60857,2.0,Manual,5,5 door Hatchback,White,Front wheel drive,SN65 BLS,4,1,107g/km (band B),1,147,8.8,187.0,Not available,2,68.9,2,12450
Seat,Arona,2019,28619,1.0,Manual,5,5 door SUV,White,Front wheel drive,FA19 UNV,1,2,115g/km (band G),1,107,11.4,94.0,£165 / year,9,48.7,0,12450
Smart,fortwo,2019,20752,0.9,Automatic,2,2 door Coupe,Black,Rear wheel drive,LD19 NFR,1,2,114g/km (band G),1,96,11.3,89.0,Not available,8,46.3,3,12450
Volkswagen,Golf,2019,70793,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,HG19 FXS,1,2,108g/km (band F),1,123,10.2,113.0,£165 / year,1,57.7,3,12450
Vauxhall,Astra,2019,11452,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,SR19 OLN,1,2,110g/km (band F),1,121,,104.0,Not available,1,48.7,3,12450
Ford,Fiesta,2020,18104,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,WN70 AVD,1,2,116g/km (band G),1,110,10.9,94.0,Not available,1,55.4,0,12450
Suzuki,Vitara,2018,23547,1.6,Manual,5,5 door SUV,Grey,Four wheel drive,SW18 PKX,1,2,130g/km (band G),1,112,12.0,118.0,Not available,1,50.4,5,12450
Volkswagen,Golf,2019,67723,1.6,Manual,5,5 door Hatchback,Grey,Front wheel drive,HG19 FWM,1,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,4,12450
Vauxhall,Grandland X,2019,31304,1.2,Manual,5,5 door SUV,Blue,Front wheel drive,DP19 FMG,2,2,120g/km (band G),1,117,10.9,128.0,£165 / year,1,44.1,3,12450
Ford,Fiesta,2020,20728,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,SF20 XYX,1,2,94g/km (band E),1,110,10.9,94.0,Not available,1,55.4,0,12450
Ford,Fiesta,2019,21701,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,GH19 SMX,1,2,106g/km (band F),1,113,10.5,99.0,Not available,1,49.6,2,12450
Ford,Kuga,2018,29783,1.5,Manual,5,5 door SUV,Blue,Front wheel drive,YL67 FTP,2,2,115g/km (band G),1,108,12.7,118.0,£165 / year,1,64.2,3,12450
Abarth,595,2019,13203,1.4,Manual,4,3 door Hatchback,Circuit Grey,Front wheel drive,GY19 ZZB,1,1,151g/km (band I),1,130,7.8,143.0,£0 / year,2,39.2,3,12450
Volkswagen,Polo,2019,34417,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,EN19 JWA,2,2,110g/km (band F),1,106,15.4,79.0,£165 / year,1,47.9,3,12450
Vauxhall,Grandland X,2019,24563,1.2,Manual,5,5 door SUV,Black,Front wheel drive,DP19 CPU,1,2,120g/km (band G),1,117,10.9,128.0,Not available,1,44.1,3,12450
Vauxhall,Grandland X,2018,17710,1.2,Manual,5,5 door SUV,White,Front wheel drive,YP68 WTN,2,2,120g/km (band G),1,117,11.1,128.0,Not available,1,44.1,3,12450
Volkswagen,Golf,2019,61565,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,HG68 WKC,1,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,4,12450
Nissan,Micra,2019,7723,1.5,Manual,5,5 door Hatchback,Silver,Front wheel drive,DE69 WNO,2,2,107g/km (band F),1,111,11.9,89.0,£165 / year,7,58.9,3,12500
Citroen,C3 Aircross,2019,18263,1.2,Manual,5,5 door SUV,Grey,Front wheel drive,KP19 VOR,2,2,119g/km (band G),1,124,13.2,128.0,Not available,2,58.9,2,12500
Suzuki,Ignis,2020,11585,1.2,Manual,5,5 door Hatchback,Blue,Front wheel drive,LN70 PHY,1,2,114g/km (band G),1,103,12.7,82.0,£0 / year,2,55.4,2,12500
Skoda,Rapid Spaceback,2019,24487,1.0,Manual,5,5 door Hatchback,Green,Front wheel drive,DA68 PVY,3,2,112g/km (band G),1,114,11.1,94.0,£165 / year,1,49.6,3,12500
Renault,Kadjar,2015,35401,1.5,Automatic,5,5 door SUV,flame red,Front wheel drive,CK65 EVC,2,2,103g/km (band B),1,112,11.7,108.0,£20 / year,1,72.4,4,12500
Seat,Ibiza,2020,37024,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,FP20 CXR,1,2,124g/km (band G),1,113,10.9,94.0,Not available,8,53.3,0,12500
Renault,Kadjar,2016,27621,1.5,Manual,5,5 door SUV,Cosmos Blue,Front wheel drive,HJ16 CFP,2,2,103g/km (band B),1,113,11.9,108.0,£20 / year,1,72.4,0,12500
Audi,A1,2015,21163,1.4,Manual,5,5 door Hatchback,Red,Front wheel drive,DX65 LRO,3,2,118g/km (band C),1,127,8.9,123.0,Not available,2,55.4,3,12500
Nissan,Qashqai,2016,42277,1.2,Manual,5,5 door SUV,Black,Front wheel drive,LX16 GAO,2,2,133g/km (band E),1,114,10.9,113.0,£165 / year,1,50.4,4,12500
Ford,EcoSport,2019,30680,1.0,Manual,5,5 door SUV,White,Front wheel drive,EY19 CVE,1,2,120g/km (band G),1,105,11.9,99.0,£165 / year,1,43.5,2,12500
Ford,EcoSport,2018,27154,1.0,Manual,5,5 door SUV,Grey,Front wheel drive,NX18 VJL,2,2,119g/km (band G),1,111,12.7,123.0,Not available,1,54.3,5,12500
Volkswagen,Golf,2019,73432,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,HG19 JHX,1,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,4,12500
Suzuki,Ignis,2020,3206,1.2,Manual,4,5 door Hatchback,Blue,Front wheel drive,YX20 KKU,1,2,117g/km (band G),1,105,11.8,89.0,Not available,1,54.3,3,12500
Audi,A1,2016,41233,1.6,Manual,4,3 door Hatchback,Black,Front wheel drive,PK66 AGO,2,2,102g/km (band B),1,124,9.4,114.0,£20 / year,2,72.4,4,12500
Honda,CR-V,2016,45809,1.6,Manual,5,5 door SUV,Red,Front wheel drive,YS16 YTJ,4,2,115g/km (band C),1,113,11.2,118.0,£30 / year,2,64.2,6,12500
Mercedes-Benz,A Class,2017,65341,1.5,Manual,5,5 door Hatchback,Red,Front wheel drive,WP67 VFL,1,2,89g/km (band D),1,118,11.3,108.0,£165 / year,1,80.7,6,12500
Volkswagen,Polo,2019,21880,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,LL19 JDX,2,2,108g/km (band F),1,102,15.5,64.0,£165 / year,1,48.7,3,12500
Mini,Hatch,2017,19093,1.5,Manual,4,3 door Hatchback,Lapisluxury Blue,Front wheel drive,MD17 AVO,2,2,107g/km (band F),1,130,7.9,134.0,£165 / year,1,61.4,2,12500
Peugeot,308,2018,6675,1.2,Manual,5,5 door Hatchback,Red,Front wheel drive,LF68 CCU,1,2,119g/km (band G),1,130,9.1,129.0,£0 / year,2,56.5,2,12500
Vauxhall,Grandland X,2019,26815,1.2,Manual,5,5 door SUV,Purple,Front wheel drive,YB19 KKS,1,2,120g/km (band G),1,117,10.9,128.0,£165 / year,1,44.1,3,12500
Alfa,Romeo Giulietta,2019,15141,1.4,Manual,5,5 door Hatchback,Alfa Red,Front wheel drive,MD19 LNR,2,2,164g/km (band I),1,121,9.4,120.0,£165 / year,1,36.69,3,12500
Ford,EcoSport,2019,21182,1.0,Manual,5,5 door SUV,Silver,Front wheel drive,BC68 VZR,2,1,120g/km (band G),1,105,11.9,99.0,£165 / year,1,43.5,2,12500
Mini,Hatch,2017,51014,1.5,Automatic,5,5 door Hatchback,Pepper White,Front wheel drive,PN17 MVY,2,1,111g/km (band C),1,129,8.1,134.0,£30 / year,1,58.9,3,12500
Volkswagen,Golf,2019,58753,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,HD19 KFL,2,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,4,12500
Fiat,500X,2016,29811,1.4,Automatic,5,5 door SUV,Art Grey,Four wheel drive,FY66 TOU,3,2,157g/km (band G),1,124,8.6,170.0,£220 / year,1,42.2,4,12500
Seat,Ibiza,2019,22333,1.0,Manual,5,5 door Hatchback,Grey,Front wheel drive,RE68 ZMU,1,2,112g/km (band G),1,105,14.7,79.0,£165 / year,3,47.9,2,12550
Kia,Picanto,2019,8881,1.2,Manual,5,5 door Hatchback,White,Front wheel drive,FH19 EDO,1,2,120g/km,1,107,12.0,83.0,Not available,7,47.9,0,12550
Ford,B-Max,2017,13626,1.6,Automatic,5,5 door MPV,Brown,Front wheel drive,AP17 AVG,2,2,149g/km (band H),1,113,12.1,104.0,Not available,1,44.1,4,12550
Mini,Hatch,2018,44870,1.5,Manual,5,5 door Hatchback,Lapisluxury Blue,Front wheel drive,LJ68 OYU,2,2,104g/km (band F),1,126,9.4,114.0,£165 / year,1,64.2,3,12550
Nissan,Leaf,2017,56185,,Automatic,5,5 door Hatchback,Grey,Front wheel drive,BD66 BXO,3,2,Band A,1,89,11.5,109.0,£0 / year,1,,0,12550
Toyota,AYGO,2020,6541,1.0,Automatic,4,5 door Hatchback,Red,Front wheel drive,AJ69 BWD,2,2,95g/km (band E),1,99,15.5,70.0,Not available,8,56.5,3,12550
Audi,A1,2014,19037,1.4,Automatic,4,3 door Hatchback,White,Front wheel drive,AK64 TOU,1,2,119g/km (band C),1,126,8.9,120.0,Not available,1,54.3,4,12550
Vauxhall,Mokka X,2018,12983,1.4,Manual,5,5 door SUV,Grey,Front wheel drive,SD68 UBS,2,2,150g/km (band H),1,122,9.9,138.0,£165 / year,1,39.2,3,12550
Vauxhall,Grandland X,2018,30673,1.2,Manual,5,5 door SUV,White,Front wheel drive,MJ68 ENR,1,2,120g/km (band G),1,117,11.1,128.0,£165 / year,1,44.1,2,12550
Vauxhall,Grandland X,2018,27123,1.2,Manual,5,5 door SUV,Blue,Front wheel drive,AO68 KMJ,1,2,120g/km (band G),1,117,11.1,128.0,Not available,1,44.1,4,12550
Volkswagen,Golf,2016,38131,1.4,Manual,5,5 door Hatchback,Black,Front wheel drive,BU16 XTB,3,1,120g/km (band C),1,126,9.3,123.0,£30 / year,1,53.3,2,12550
Vauxhall,Grandland X,2018,24788,1.2,Manual,5,5 door SUV,Blue,Front wheel drive,BL68 NWB,1,1,120g/km (band G),1,117,11.1,128.0,£165 / year,1,44.1,3,12550
Ford,Fiesta,2018,19568,1.0,Manual,5,3 door Hatchback,Black,Front wheel drive,MA68 MZU,1,2,108g/km (band F),1,121,9.9,123.0,£165 / year,1,48.7,2,12550
Volkswagen,Golf,2019,66278,1.6,Manual,5,5 door Hatchback,Blue,Front wheel drive,HG19 MYB,1,2,108g/km (band F),1,123,10.2,113.0,£165 / year,1,57.7,3,12550
Mercedes-Benz,B Class,2017,45318,1.5,Manual,5,5 door MPV,Blue,Front wheel drive,KS17 XRM,2,2,106g/km (band F),1,118,11.6,108.0,Not available,1,68.9,0,12550
Seat,Arona,2019,26493,1.0,Manual,5,5 door SUV,Black,Front wheel drive,YC19 ZGV,1,2,115g/km (band G),1,107,11.4,94.0,£165 / year,9,48.7,0,12550
MG,MG ZS,2019,21842,1.5,Manual,5,5 door SUV,Blue,Front wheel drive,CA68 YZM,3,2,140g/km (band H),1,109,10.9,105.0,£165 / year,1,41.5,3,12550
Volkswagen,Passat,2019,73273,2.0,Manual,5,4 door Saloon,Silver,Front wheel drive,MJ19 GKN,1,1,108g/km (band F),1,137,8.7,148.0,Not available,1,54.3,3,12550
Nissan,Qashqai,2017,17059,1.5,Manual,5,5 door SUV,Grey,Front wheel drive,YE67 SUF,2,2,99g/km (band E),1,113,11.9,108.0,Not available,1,74.3,5,12550
Ford,B-Max,2016,21369,1.6,Automatic,5,5 door MPV,Silver,Front wheel drive,FE66 EYG,2,2,149g/km (band F),1,112,12.1,104.0,Not available,1,44.1,6,12600
Jaguar,XE,2016,60783,2.0,Manual,5,4 door Saloon,Black,Rear wheel drive,SG66 UXV,2,2,99g/km (band A),1,132,8.4,161.0,£0 / year,2,74.3,2,12600
Ford,Fiesta,2018,16493,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,SM18 VMG,1,2,110g/km (band F),1,113,10.5,99.0,£165 / year,1,49.6,3,12600
Renault,Clio,2019,34758,1.5,Automatic,5,5 door Hatchback,Glacier White,Front wheel drive,PN19 LYP,1,2,107g/km (band F),1,110,13.1,89.0,Not available,1,57.6,4,12600
Nissan,Qashqai,2015,32543,1.6,Manual,5,5 door SUV,Black,Front wheel drive,EU65 TNZ,2,2,120g/km (band C),1,118,10.5,128.0,£30 / year,1,64.2,7,12600
Nissan,Qashqai,2017,49856,1.5,Manual,5,5 door SUV,Silver,Front wheel drive,DS17 EJN,3,2,99g/km (band A),1,113,11.9,108.0,£0 / year,1,74.3,2,12600
Seat,Ibiza,2019,16141,1.0,Manual,5,5 door Hatchback,Orange,Front wheel drive,BC19 GZA,1,2,112g/km (band G),1,105,14.7,79.0,£165 / year,3,47.9,0,12600
Renault,Clio,2020,45444,1.0,Manual,5,5 door Hatchback,Valencia Orange,Front wheel drive,WK20 XRB,1,2,118g/km (band G),1,122,11.8,99.0,£165 / year,1,54.3,2,12600
Peugeot,208,2018,24245,1.6,Manual,5,3 door Hatchback,White,Front wheel drive,GY18 RKZ,4,2,125g/km (band G),1,143,6.5,205.0,Not available,3,52.3,0,12600
Volkswagen,Polo,2018,22244,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,GD18 WYO,2,2,108g/km (band F),1,102,15.5,64.0,£165 / year,1,60.1,4,12600
Vauxhall,Insignia,2016,29821,1.6,Manual,5,5 door Estate,Red,Front wheel drive,SJ66 HVS,3,2,114g/km (band C),1,124,11.4,134.0,Not available,1,65.7,6,12600
Nissan,Qashqai,2016,23507,1.5,Manual,5,5 door SUV,White,Front wheel drive,VF16 LLT,2,2,103g/km (band B),1,113,11.9,108.0,Not available,1,74.3,5,12600
Citroen,C4 Picasso,2017,30229,1.6,Automatic,5,5 door MPV,Blue,Front wheel drive,LC17 NEF,3,2,100g/km (band E),1,117,11.2,118.0,£165 / year,2,74.3,2,12600
Vauxhall,Grandland X,2019,33602,1.2,Manual,5,5 door SUV,Black,Front wheel drive,DP19 DWD,1,2,120g/km (band G),1,117,11.1,128.0,Not available,1,44.1,0,12600
Kia,Sportage,2016,38617,1.7,Manual,5,5 door SUV,Blue,Front wheel drive,NU66 FLC,3,2,119g/km (band C),1,109,12.3,114.0,Not available,1,61.4,5,12600
Hyundai,TUCSON,2018,50046,1.6,Manual,5,5 door SUV,Blue,Front wheel drive,YX18 JNV,2,2,147g/km (band H),1,113,11.5,130.0,Not available,1,44.8,4,12600
Kia,Sportage,2017,49851,1.7,Manual,5,5 door SUV,Black,Front wheel drive,HJ67 XML,2,2,119g/km (band G),1,109,11.5,114.0,Not available,1,61.4,5,12600
Kia,Picanto,2020,5410,1.2,Manual,5,5 door Hatchback,Blue,Front wheel drive,FG20 GDK,1,1,128g/km (band G),1,107,12.0,83.0,£0 / year,6,49.6,2,12600
Volkswagen,Polo,2018,14567,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,SH68 NHB,3,2,108g/km (band F),1,102,15.5,64.0,Not available,1,48.7,4,12600
Mini,Hatch,2018,29633,1.5,Manual,5,5 door Hatchback,White Silver,Front wheel drive,SL18 HMX,1,2,109g/km (band F),1,129,8.2,134.0,Not available,1,60.1,2,12600
Audi,A1,2018,28235,1.0,Manual,4,3 door Hatchback,Black,Front wheel drive,BC18 NKW,1,2,97g/km (band E),1,116,10.9,94.0,Not available,1,67.3,0,12600
Ford,EcoSport,2019,18584,1.0,Manual,5,5 door SUV,Black,Front wheel drive,FT68 SNK,1,2,119g/km (band G),1,111,11.0,123.0,£165 / year,1,43.5,2,12600
Kia,Ceed,2018,33450,1.6,Manual,5,5 door Hatchback,Red,Front wheel drive,FV18 UPB,1,2,102g/km (band F),1,122,,134.0,Not available,1,72.4,2,12600
Volkswagen,Polo,2019,29451,1.0,Manual,5,5 door Hatchback,Grey,Front wheel drive,MD19 NMU,1,2,104g/km (band F),1,116,10.8,94.0,£165 / year,8,52.3,3,12600
Volkswagen,Polo,2019,16454,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,ML19 AOF,1,2,109g/km (band F),1,102,15.5,64.0,£165 / year,1,48.7,3,12600
Vauxhall,Crossland X,2020,10670,1.2,Manual,5,5 door SUV,Orange,Front wheel drive,DL70 VPZ,2,1,137g/km (band H),1,106,13.6,82.0,£165 / year,9,47.1,2,12600
Nissan,Juke,2017,23499,1.6,Automatic,5,5 door SUV,Grey,Front wheel drive,DL17 FKU,3,2,139g/km (band H),1,104,11.5,115.0,£165 / year,1,47.1,3,12600
Vauxhall,Grandland X,2018,15275,1.2,Manual,5,5 door SUV,Blue,Front wheel drive,MT68 WMJ,2,2,120g/km (band G),1,117,11.1,128.0,£165 / year,1,44.1,3,12600
Volkswagen,Polo,2019,22322,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,CJ19 UPC,1,2,110g/km (band F),1,106,15.4,79.0,Not available,1,48.7,3,12600
Fiat,500,2018,8026,1.2,Automatic,4,3 door Hatchback,Bossa Nova White,Front wheel drive,LV18 NKF,3,2,105g/km (band F),1,99,12.9,69.0,Not available,8,62.8,3,12600
Ford,Fiesta,2018,20120,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,FY18 FFO,3,2,97g/km (band E),1,113,10.5,99.0,Not available,1,65.7,3,12600
Infiniti,Q30,2017,23803,1.5,Automatic,5,5 door Hatchback,Grey,Front wheel drive,BK67 LMM,3,2,111g/km (band G),1,118,11.9,108.0,£155 / year,1,65.7,0,12600
Ford,Fiesta,2018,16735,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,ND67 EOB,2,1,97g/km (band E),1,113,10.5,99.0,£165 / year,1,65.7,3,12650
Hyundai,i10,2018,11452,1.2,Automatic,5,5 door Hatchback,White,Front wheel drive,AE68 TJX,1,2,141g/km (band H),1,103,13.8,86.0,Not available,6,41.5,5,12650
Hyundai,TUCSON,2017,53267,1.7,Manual,5,5 door SUV,Blue,Front wheel drive,WR17 JUC,2,2,119g/km (band C),1,109,13.7,114.0,£30 / year,1,61.4,4,12650
Ford,Fiesta,2016,33128,1.6,Manual,5,3 door Hatchback,Black,Front wheel drive,EO66 YJV,2,1,138g/km (band E),1,122,6.9,180.0,Not available,3,47.9,6,12650
Abarth,595,2018,11884,1.4,Manual,4,3 door Hatchback,Gara White,Front wheel drive,EA18 GHK,2,2,139g/km (band H),1,130,7.8,143.0,£165 / year,2,47.1,3,12650
Vauxhall,Corsa,2017,19250,1.6,Manual,5,3 door Hatchback,Blue,Front wheel drive,OE17 NUV,3,2,174g/km (band J),1,143,6.8,202.0,Not available,3,37.7,5,12650
Ford,Fiesta,2020,49059,1.0,Manual,5,5 door Hatchback,Red,Front wheel drive,FP69 UKB,1,2,96g/km (band E),1,121,9.9,123.0,£165 / year,1,54.3,0,12650
Mini,Hatch,2016,48356,1.5,Manual,4,5 door Hatchback,Pepper White,Front wheel drive,BL65 SNF,2,2,111g/km (band C),1,129,7.8,134.0,Not available,1,58.9,3,12650
Peugeot,308 SW,2018,14865,1.2,Manual,5,5 door Estate,White,Front wheel drive,FT18 DPK,1,2,123g/km (band G),1,124,9.4,129.0,£165 / year,2,58.9,4,12650
Audi,A1,2016,16660,1.4,Manual,5,5 door Hatchback,Grey,Front wheel drive,AD16 HLA,2,2,118g/km (band C),1,127,8.9,123.0,£30 / year,2,55.4,3,12650
Nissan,Juke,2019,16931,1.6,Manual,5,5 door SUV,Grey,Front wheel drive,BL19 RKX,2,2,157g/km (band I),1,111,12.5,110.0,£165 / year,9,34.5,0,12650
Kia,Ceed,2019,24474,1.0,Manual,5,5 door Hatchback,White,Front wheel drive,LF19 KTK,2,2,119g/km (band G),1,116,,118.0,£165 / year,8,50.4,2,12650
Audi,A1,2017,25562,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,SC67 VCT,2,2,97g/km (band E),1,116,11.1,94.0,Not available,1,67.3,4,12650
Ford,Fiesta,2020,14955,1.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,WV70 XAE,1,2,116g/km (band G),1,110,10.9,94.0,£165 / year,1,55.4,0,12650
Vauxhall,Astra,2019,19265,1.4,Manual,5,5 door Hatchback,Silver,Front wheel drive,KV19 WDG,1,2,136g/km (band H),1,134,,148.0,Not available,1,45.6,3,12650
Volkswagen,Polo,2019,16841,1.0,Manual,5,5 door Hatchback,Silver,Front wheel drive,EF19 HPN,2,2,109g/km (band F),1,102,15.5,64.0,£165 / year,1,48.7,4,12650
Seat,Ibiza,2019,6618,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,YL19 XPJ,1,2,105g/km (band F),1,113,10.9,94.0,£165 / year,8,53.3,0,12650
Volkswagen,Tiguan,2016,37805,2.0,Manual,5,5 door SUV,Silver,Front wheel drive,NJ16 PGK,2,2,130g/km (band D),1,123,9.8,148.0,£135 / year,2,56.5,5,12650
Volkswagen,Golf,2016,37835,1.6,Manual,5,5 door Hatchback,Red,Front wheel drive,DV66 WAO,2,1,101g/km (band B),1,119,10.5,108.0,Not available,1,74.3,7,12650
Ford,Mondeo,2018,53069,2.0,Manual,5,5 door Hatchback,Blue,Front wheel drive,YO68 RZY,1,2,124g/km,1,134,9.4,148.0,Not available,2,53.3,5,12700
Toyota,Yaris,2016,53731,1.5,Automatic,5,5 door Hatchback,Black,Front wheel drive,DL16 OAH,2,2,82g/km (band A),1,103,11.8,100.0,Not available,1,78.5,6,12700
DS,DS 3,2018,16384,1.2,Automatic,5,3 door Hatchback,Black,Front wheel drive,DA68 VZO,1,2,119g/km (band G),1,119,9.6,108.0,Not available,2,44.8,2,12700
Volkswagen,Golf,2019,80105,1.6,Manual,5,5 door Hatchback,Grey,Front wheel drive,HG19 JJV,1,2,108g/km,1,123,10.2,113.0,£165 / year,1,57.7,5,12700
Ford,Kuga,2017,51021,2.0,Manual,5,5 door SUV,Silver,Front wheel drive,EG17 XOL,1,2,122g/km (band G),1,121,9.2,148.0,Not available,2,60.1,4,12700
Mini,Hatch,2019,67126,1.5,Manual,5,5 door Hatchback,Moonwalk Grey,Front wheel drive,RV69 XJP,1,2,117g/km (band G),1,129,8.3,134.0,Not available,2,47.9,4,12700
Ford,EcoSport,2019,8564,1.0,Manual,5,5 door SUV,Blue,Front wheel drive,WN19 JNF,1,2,120g/km (band G),1,105,11.9,99.0,£0 / year,1,44.1,0,12700
Abarth,595,2019,18504,1.4,Manual,4,3 door Hatchback,Record Grey,Front wheel drive,EO69 HZD,3,1,151g/km (band I),1,130,7.8,143.0,£165 / year,2,39.2,2,12700
Volkswagen,Polo,2019,21379,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,ML19 JRV,1,2,108g/km (band F),1,102,15.5,64.0,Not available,1,48.7,0,12700
Ford,Fiesta,2017,39584,1.0,Manual,5,5 door Hatchback,Black,Front wheel drive,WF67 EZM,1,2,102g/km (band F),1,125,9.0,138.0,£165 / year,1,62.8,3,12700
Volkswagen,Golf,2019,66216,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,HG19 MYH,1,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,3,12700
Volkswagen,Golf,2017,50806,1.4,Manual,5,5 door Hatchback,Yellow,Front wheel drive,VX67 WGF,1,2,120g/km (band G),1,126,9.3,123.0,Not available,1,54.3,4,12700
Fiat,500,2021,9877,1.0,Manual,4,3 door Hatchback,White With Bi Colour Lunar Grey Roof,Front wheel drive,DS21 YNP,1,2,115g/km (band G),1,104,13.8,70.0,Not available,9,56.5,0,12700
Volkswagen,Golf,2019,61166,1.6,Manual,5,5 door Hatchback,Silver,Front wheel drive,HG19 FWN,1,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,3,12700
Vauxhall,Mokka X,2018,16971,1.4,Automatic,5,5 door SUV,Orange,Front wheel drive,YO18 RKZ,1,2,162g/km (band I),1,119,10.7,138.0,Not available,1,37.2,4,12700
Nissan,Qashqai,2019,41866,1.5,Manual,5,5 door SUV,Blue,Front wheel drive,NH19 UWY,1,2,100g/km (band E),1,112,12.3,113.0,Not available,1,53.3,2,12700
Volkswagen,Golf,2019,63705,1.6,Manual,5,5 door Hatchback,Grey,Front wheel drive,HG19 MYD,1,2,108g/km (band F),1,123,10.2,113.0,Not available,1,57.7,3,12700
Mitsubishi,Eclipse Cross,2019,25377,1.5,Manual,5,5 door SUV,Red,Front wheel drive,RA68 ZPS,1,2,154g/km (band I),1,127,10.3,161.0,Not available,1,37.7,2,12700
Fiat,500,2018,11572,1.2,Automatic,4,3 door Hatchback,Bossa Nova White,Front wheel drive,NG68 JHY,2,2,117g/km (band G),1,101,12.9,69.0,Not available,8,45.6,3,12700
Vauxhall,Grandland X,2019,23158,1.2,Manual,5,5 door SUV,Grey,Front wheel drive,MC19 FVT,1,2,120g/km (band G),1,117,10.9,128.0,Not available,1,44.1,2,12700
Audi,A1,2017,17521,1.4,Manual,4,3 door Hatchback,White,Front wheel drive,SH67 XEW,1,2,115g/km (band G),1,127,8.8,123.0,Not available,2,57.7,2,12700
Ford,Kuga,2016,42666,2.0,Automatic,5,5 door SUV,Blue,Four wheel drive,VE16 YFS,1,2,134g/km (band E),1,124,9.2,178.0,£165 / year,2,52.3,5,12700
Volkswagen,Polo,2018,18974,1.0,Manual,5,5 door Hatchback,Grey,Front wheel drive,BV68 RXN,1,1,104g/km (band F),1,116,10.8,94.0,£165 / year,8,52.3,2,12700
